GRB name , RA (J2000.0) , Dec (J2000.0) , Error Radius , Redshift , trigger time , LAT Boresight(degrees) , Position source , 
61 , 100620A , 86.98 , -50.96 , 0.71 , - , 298695091 , 75.532 , Fermi-LAT , 
62 , 100414A , 192.112 , 8.69172 , 0.0005 , 1.368 , 292904423 , 27.682 , Swift-XRT , 
63 , 100325A , 330.24 , -26.47 , 0.9 , - , 291191770 , 52.184 , Fermi-LAT , 
64 , 100225A , 310.3 , -59.4 , 0.9 , - , 288758733 , 81.076 , Fermi-GBM , 
65 , 100116A , 305.01 , 14.43 , 0.17 , - , 285370262 , 37.082 , Fermi-LAT , 
66 , 091208B , 29.392 , 16.8899 , 0.0006 , 1.063 , 281958599 , 26.001 , Swift-XRT , 
67 , 091031A , 71.4 , -57.7 , 0.24 , - , 278683230 , 38.501 , Fermi-LAT , 
68 , 091003A , 251.52 , 36.6247 , 0.00047 , - , 276237347 , 62.168 , Swift-XRT , 
69 , 090926A , 353.401 , -66.3239 , 0.0004167 , - , 275631628 , 80.502 , Swift-XRT , 
70 , 090902B , 264.939 , 27.3245 , 0.0005 , 1.822 , 273582310 , 38.35 , Swift-XRT , 
71 , 090720B , 203.68054 , -10.334694 , 1.39e-4 , - , 269802178 , 94.4 , Swift-UVOT , 
72 , 090626A , 170.01 , -33.5 , 0.32 , - , 267683530 , 12.728 , Fermi-LAT , 
73 , 090531B , 252.06 , -36.05 , 3.5e-2 , - , 265487758 , 49.175 , Swift-XRT , 
74 , 090510A , 333.553 , -26.584111 , 0.0001 , - , 263607781 , 52.296 , NOT , 
75 , 090328A , 90.665292 , -41.881611 , 6.94e-4 , - , 259925808 , 71.088 , VLA , 
76 , 090323A , 190.70955 , 17.053306 , 1.39e-5 , - , 259459364 , 66.94 , VLA , 
77 , 090227B , 10.48 , 29.24 , 1.00 , - , 257452263 , 85.8 , IPN , 
78 , 090217A , 204.83 , -8.42 , 0.35 , - , 256539404 , 47.013 , Fermi-LAT , 
79 , 081024B , 322.95 , 21.2 , 0.22 , - , 246576161 , 30.392 , Fermi-LAT , 
80 , 081006A , 136.43 , -62.1 , 0.52 , - , 244996175 , 45.9 , Fermi-LAT , 
81 , 080916C , 119.84717 , -56.638333 , 1.39e-4 , 4.35 , 243216766 , 83.6 , Swift-XRT , 
82 , 080825C , 233.95 , -4.55 , 0.77 , - , 241366429 , 26.1 , Fermi-LAT , 
